"","Healthy_1W","Healthy_3W","Healthy_5W","Diabetic_1W","Diabetic_3W","Diabetic_5W","Trained_diabetic_1W","Trained_diabetic_3W","Trained_diabetic_5W","Trained_1W","Trained_3W","Trained_5W"
"100133_at",6.3521223309731,6.22572514983979,6.23750857958663,6.2071876238596,6.34954067690774,6.28249496518561,6.25638187472208,6.17659937271442,6.26247044169574,6.44594467123459,6.21173636207315,6.19079126858651
"100134_at",8.66923332581001,8.69068430140881,8.49433958465406,8.71492084420949,8.59761898337047,8.53555884687311,8.72134870582035,8.78895418046028,8.62523443207296,8.57906615190756,8.91760221324747,8.60656932718339
"100136_at",6.28800720000141,6.32066684417965,6.79914146673628,6.83182938811618,6.98032029636253,7.77268699410299,6.46830451683506,6.70851007097157,7.57049862153696,6.14079385586381,5.78952488217845,6.47507626744247
"100138_f_at",6.17912647560153,6.38192017371804,6.11196716521912,6.46538656599362,6.04257700593892,6.02787595218263,6.30148118554662,6.21207590871248,6.06443350973476,6.24328020840694,6.31872520630695,6.27188669369834
"100139_at",6.16633098364317,5.9990760952592,5.9318522475117,6.07940136742983,6.02294286721028,5.74254270406699,6.22523832228061,6.04901095934909,5.91705227206344,6.1476985543074,6.13616398098373,5.99884429683453
"100141_at",6.6119969001009,6.55807890507546,6.45834919795833,6.55372742457771,6.52775927212992,6.39489056335885,6.63006698888977,6.60276541977568,6.5333428230469,6.53420456377642,6.67110568519032,6.61638111649541
"100142_at",6.87346268145518,6.96155192917443,6.94873184643558,7.08491119317183,6.93701270827628,6.85536170599078,6.89282892715025,7.00590357731986,7.01870305608116,6.89085900058737,7.05596134668926,7.01689013911788
"100143_at",7.08086582517857,7.04645432444331,6.98255360607498,7.02242400231951,6.9324964241615,6.90587122049879,7.09603619634747,6.90305102662548,7.05822422616068,7.097254780286,7.05603769781444,7.10437908221459
"100144_at",9.29306479751597,9.52174376006325,9.36353749290393,10.0816753567201,9.94275323537702,9.52945452577766,9.6350082155582,9.68697741873908,9.39530240996794,9.44624016213648,9.47993409821385,9.30277981152164
"100147_at",6.03248384887983,5.946947468256,5.71455611497882,5.9333099187149,5.88928519441552,5.72584582645802,6.05581500231126,5.82312054608112,5.66766325508835,5.98631732619277,6.03647088954225,5.90567451555898
